@relation wind_data-weka.filters.unsupervised.attribute.Remove-R1

@attribute WIND {'Gentle Breeze','Light Breeze','Light Air','Moderate Breeze',Calm}
@attribute IND numeric
@attribute RAIN {Slight,Moderate,Heavy}
@attribute IND.1 numeric
@attribute T.MAX numeric
@attribute IND.2 numeric
@attribute T.MIN numeric
@attribute T.MIN.G numeric

@data
'Light Breeze',-0.333699,Slight,-0.310259,1.716719,-0.389995,0.39992,0.468008
'Light Air',-0.333699,Slight,-0.310259,0.925165,-0.389995,1.191403,1.457479
'Light Air',-0.333699,Slight,-0.310259,0.796804,-0.389995,0.196396,0.174832
'Light Breeze',-0.333699,Slight,-0.310259,0.946558,-0.389995,0.897424,1.145979
'Gentle Breeze',-0.333699,Slight,-0.310259,1.267458,-0.389995,0.603445,0.596273
'Gentle Breeze',-0.333699,Slight,-0.310259,1.545572,-0.389995,1.575838,1.897244
'Light Breeze',-0.333699,Slight,-0.310259,1.310245,-0.389995,0.264238,0.101538
'Light Breeze',-0.333699,Slight,-0.310259,1.053525,-0.389995,1.507996,1.036038
'Light Air',-0.333699,Moderate,1.488654,0.219184,-0.389995,-0.074969,-0.209962
'Light Breeze',-0.333699,Slight,-0.310259,1.203278,-0.389995,0.806969,1.292567
'Gentle Breeze',-0.333699,Slight,-0.310259,1.053525,-0.389995,0.897424,1.036038
'Light Air',-0.333699,Slight,-0.310259,0.689838,-0.389995,0.580831,0.63292
'Light Breeze',-0.333699,Slight,-0.310259,0.689838,-0.389995,0.535603,0.63292
'Light Breeze',-0.333699,Slight,-0.310259,1.224672,-0.389995,-0.188038,-0.100021
'Light Breeze',-0.333699,Slight,-0.310259,1.074918,-0.389995,1.078334,1.365861
'Gentle Breeze',-0.333699,Slight,-0.310259,1.160491,-0.389995,1.168789,1.274244
'Light Breeze',-0.333699,Slight,-0.310259,1.053525,-0.389995,1.304472,1.695685
'Gentle Breeze',-0.333699,Slight,-0.310259,1.203278,-0.389995,1.05572,1.457479
'Light Breeze',-0.333699,Slight,-0.310259,1.780899,-0.389995,1.078334,1.20095
'Moderate Breeze',-0.333699,Slight,-0.310259,0.775411,-0.389995,1.372313,1.933891
'Gentle Breeze',-0.333699,Slight,-0.310259,0.475904,-0.389995,1.259244,1.604067
'Gentle Breeze',-0.333699,Slight,-0.310259,1.631145,-0.389995,1.100948,1.347538
'Moderate Breeze',-0.333699,Slight,-0.310259,0.839591,-0.389995,1.485382,1.732332
'Gentle Breeze',-0.333699,Slight,-0.310259,0.818198,-0.389995,0.920038,1.420832
'Light Breeze',-0.333699,Slight,-0.310259,1.759506,-0.389995,1.168789,1.457479
'Light Breeze',-0.333699,Slight,-0.310259,0.989345,-0.389995,-0.007128,0.413038
'Light Breeze',-0.333699,Slight,-0.310259,1.288852,-0.389995,1.440155,1.842273
'Light Breeze',-0.333699,Slight,-0.310259,1.032131,-0.389995,0.490376,0.449685
'Gentle Breeze',-0.333699,Slight,-0.310259,1.780899,-0.389995,1.281858,1.237597
'Light Breeze',-0.333699,Slight,-0.310259,2.401306,-0.389995,1.394927,1.219273
'Gentle Breeze',-0.333699,Slight,-0.310259,1.994832,-0.389995,2.570844,2.208744
'Light Air',-0.333699,Slight,-0.310259,1.417212,-0.389995,0.671286,0.376391
'Light Air',-0.333699,Slight,-0.310259,1.652539,-0.389995,-0.323721,0.303096
'Light Air',-0.333699,Slight,-0.310259,1.631145,-0.389995,1.05572,-0.264933
'Light Air',-0.333699,Slight,-0.310259,1.524179,-0.389995,1.327086,1.402509
'Light Breeze',-0.333699,Slight,-0.310259,0.582871,-0.389995,1.643679,2.007185
'Light Air',-0.333699,Slight,-0.310259,1.053525,-0.389995,1.801975,2.13545
'Light Breeze',-0.333699,Slight,-0.310259,0.475904,-0.389995,0.942651,1.036038
'Gentle Breeze',-0.333699,Slight,-0.310259,0.689838,-0.389995,0.716513,0.981067
'Light Breeze',-0.333699,Slight,-0.310259,0.518691,-0.389995,0.060714,0.413038
'Light Air',-0.333699,Slight,-0.310259,0.925165,-0.389995,0.0381,0.083214
'Light Breeze',-0.333699,Slight,-0.310259,1.459999,-0.389995,-0.188038,-0.081698
'Light Air',-0.333699,Slight,-0.310259,1.716719,-0.389995,1.575838,1.420832
